cifname,Pore_diameters,GCMC吸附
T3_301_NH2_H_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.705
T3_301_NH2_H_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,2.281
T3_301_NH2_H_H_H-L2_210_CHO_H_H-HCB_A-AA,15.26686,1.19
T3_301_NH2_H_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.382
T3_301_NH2_H_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.44
T3_301_NH2_H_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.62
T3_301_NH2_H_H_H-L2_214_CHO_H_H-HCB_A-AA,15.26692,1.07
T3_301_NH2_H_H_H-L2_215_CHO_H_H-HCB_A-AA,15.2669,1.14
T3_301_NH2_H_H_H-L2_216_CHO_H_H-HCB_A-AA,15.26686,1.224
T3_301_NH2_H_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.586
T3_301_NH2_I_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.692
T3_301_NH2_I_H_H-L2_202_CHO_H_H-HCB_A-AA,14.7031,1.125
T3_301_NH2_I_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.694
T3_301_NH2_I_H_H-L2_204_CHO-HCB_A-AA,8.42616,0.701
T3_301_NH2_I_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.594
T3_301_NH2_I_H_H-L2_206_CHO_H_H-HCB_A-AA,18.26334,1.398
T3_301_NH2_I_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.503
T3_301_NH2_I_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.646
T3_301_NH2_I_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,2.007
T3_301_NH2_I_H_H-L2_210_CHO_H_H-HCB_A-AA,14.31262,1.157
T3_301_NH2_I_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.326
T3_301_NH2_I_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.07
T3_301_NH2_I_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.447
T3_301_NH2_I_H_H-L2_214_CHO_H_H-HCB_A-AA,14.36008,1.01
T3_301_NH2_I_H_H-L2_215_CHO_H_H-HCB_A-AA,14.3599,1.023
T3_301_NH2_I_H_H-L2_216_CHO_H_H-HCB_A-AA,14.31262,1.099
T3_301_NH2_I_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.234
T3_301_NH2_NH2_H_H-L2_201_CHO_H_H-HCB_A-AA,22.24812,1.861
T3_301_NH2_NH2_H_H-L2_202_CHO_H_H-HCB_A-AA,15.79061,1.197
T3_301_NH2_NH2_H_H-L2_203_CHO_H_H-HCB_A-AA,22.21663,1.77
T3_301_NH2_NH2_H_H-L2_204_CHO-HCB_A-AA,10.50179,0.619
T3_301_NH2_NH2_H_H-L2_205_CHO_H_H-HCB_A-AA,18.22096,1.609
T3_301_NH2_NH2_H_H-L2_206_CHO_H_H-HCB_A-AA,18.47056,1.428
T3_301_NH2_NH2_H_H-L2_207_CHO_H_H-HCB_A-AA,22.21663,1.627
T3_301_NH2_NH2_H_H-L2_208_CHO_H_H-HCB_A-AA,22.21663,1.704
T3_301_NH2_NH2_H_H-L2_209_CHO_H_H-HCB_A-AA,20.56711,2.108
T3_301_NH2_NH2_H_H-L2_210_CHO_H_H-HCB_A-AA,15.26686,1.136
T3_301_NH2_NH2_H_H-L2_211_CHO_H_H-HCB_A-AA,11.90783,1.337
T3_301_NH2_NH2_H_H-L2_212_CHO_H_H-HCB_A-AA,20.64158,2.057
T3_301_NH2_NH2_H_H-L2_213_CHO_H_H-HCB_A-AA,19.08362,1.591
T3_301_NH2_NH2_H_H-L2_214_CHO_H_H-HCB_A-AA,15.26692,1.087
T3_301_NH2_NH2_H_H-L2_215_CHO_H_H-HCB_A-AA,15.2669,1.088
T3_301_NH2_NH2_H_H-L2_216_CHO_H_H-HCB_A-AA,15.26686,1.124
T3_301_NH2_NH2_H_H-L2_217_CHO_H_H-HCB_A-AA,20.82472,2.297
T3_301_NH2_NO2_H_H-L2_201_CHO_H_H-HCB_A-AA,22.43058,2.013
